mrts,clause_id,title,page_start,page_end,text
MRTS12,1,Introduction,5,5,"This Technical Specification applies to the application of sprayed bituminous emulsion surfacing. The
work covered includes primes, primerseals, seals, reseals and enrichments.
This Technical Specification shall be read in conjunction with MRTS01 Introduction to Technical
Specifications, MRTS50 Specific Quality System Requirements and other Technical Specifications as
appropriate.
This Technical Specification forms part of the Transport and Main Roads Specifications Manual."
MRTS12,2,Definition of terms,5,5,"The terms used in this Technical Specification shall be as defined in Clause 2 of MRTS01 Introduction
to Technical Specifications. Additional terms used in this Technical Specification shall be as defined in
Table 2. Further definitions are given in Austroads Principles and Practice of Bituminous Surfacing,
Volume 1 - Sprayed Work. In the event of any conflict of definition, this publication shall have a priority
rating immediately below the Conditions of Contract.
Table 2 – Definition of terms
Term Definition
Actual Spray Rate The spray rate of residual bituminous emulsion achieved during the
operation, at 15ºC
Actual Spread Rate The spread rate of cover aggregate or prime cover material achieved
during the relevant operation
anionic emulsion The bituminous emulsion type in which the suspended bitumen
particles are negatively charged
bituminous emulsion A liquid product in which a substantial amount of bitumen, with which
some cutter oil and / or flux oil may be mixed or co-dispersed, is
suspended in a finely divided condition in water by means of one or
more emulsifying and stabilising agents
cationic emulsion The bituminous emulsion type in which the suspended bitumen
particles are positively charged
cover aggregate Aggregate complying with the requirements of MRTS22 Supply of
Cover Aggregates, and which forms a permanent wearing surface on
a pavement
Designed Spray Rate The spray rate for the relevant bituminous material at 15ºC as
determined by the Seal Design in accordance with Clause 6
Designed Spread Rate The spread rate of cover aggregate or prime cover material as
determined by the Seal Design in accordance with Clause 6
Estimated Spray Rate The spray rate of residual bituminous emulsion at 15ºC stated in
Clause 6 of Annexure MRTS12.1
Estimated Spread Rate The spread rate for cover aggregate or prime cover material stated in
Clause 6 of Annexure MRTS12.1
prime cover material Material used to cover a prime to enable traffic to use the pavement.
Prime cover material may be a clean sand, crusher dust or cover
aggregate
spray run The area of pavement selected for coverage with a bituminous
material during one continuous operation with a sprayer"
MRTS12,3,Reference documents,6,6,"Table 3 lists documents referenced in this Technical Specification.
Table 3 – Referenced documents
Reference Title
- Design of Sprayed Seals – Austroads
- Bitumen Sprayers – Austroads"
MRTS12,4,Standard Test Methods,6,6,"The standard test methods given in Table 4 shall be used in this Technical Specification.
Further details of test numbers and test descriptions are given in Clause 4 of MRTS01 Introduction to
Table 4 – Standard Test Methods
Property to be Tested Method No.
Ball embedment test AG:PT/T251
Field spread rate of cover aggregate Q711A"
MRTS12,5.1,"Hold Points, Witness Points and Milestones",6,6,"General requirements for Hold Points, Witness Points and Milestones are specified in Clause 5.2 of
MRTS01 Introduction to Technical Specifications.
The Hold Points, Witness Points and Milestones applicable to this Technical Specification are
summarised in Table 5.1.
Table 5.1 – Hold Points, Witness Points and Milestones
Clause Hold Point Witness Point Milestone"
MRTS12,6.2.2,2. Commencement of Submission of test plan,6,6,spraying operations (7 days)
MRTS12,6.2.3,3. Commencement of Submission of seal,6,6,spraying operations design (7 days)
MRTS12,11.3,1. Pavement temperature,6,7,"above minimum
specified
Clause Hold Point Witness Point Milestone"
MRTS12,12.5,2. Bitumen temperature,7,7,"within specified range
prior to spraying"
MRTS12,5.2,Construction procedures,7,7,"The Contractor shall prepare documented procedures for all handling processes as defined in
Clause 5 of MRTS50 Specific Quality System Requirements.
These procedures shall be consistent with safe handling practices which apply to bitumen products as
defined in the following publications:
a) Code of Practice for Safe Handling of Bitumen Products (Australian Institute of Petroleum),
and
b) Bitumen Sealing Safety Guide (Austroads).
Procedures shall be submitted to the Administrator not less than seven days prior to their use.
Milestone
Procedures shall not be implemented until permission to use has been granted by the Administrator.
Hold Point 1
The Contractor shall establish an Inspection and Test Plan for supply and delivery of bitumen. The
Inspection and Test Plan shall address at least:
a) traceability
b) conformance of bituminous emulsion supplied to the Site, and
c) sampling and testing at the Site."
MRTS12,6.1,Specific surfacing treatments,7,7,"Where so stated in Clause 6 of Annexure MRTS12.1, the specific requirements for bituminous
emulsion surfacing treatments shall be as set out therein. Where no such details are included in
Clause 6 of Annexure MRTS12.1, bituminous emulsion surfacing treatments shall be as shown in the
drawings."
MRTS12,6.2.1,General,7,7,"The seal design shall be carried out by either the Designer under the Contract or by the Contractor as
stated in Clause 7 of Annexure MRTS12.1."
MRTS12,6.2.2,Seal design by the Designer under the Contract,7,8,"Where the seal design is carried out by the Designer under the Contract, the Contractor shall submit
to the Administrator, at least seven days prior to the commencement of bituminous emulsion spraying
operations, a test plan which defines the relevant properties of the proposed cover material.
Milestone
The Contractor shall allow a period of seven days for the Designer to carry out seal design. Spraying
operations shall not commence until the Contractor has been notified of the requirements of the seal
design. Hold Point 2"
