Unique ID,Reference Text,Description,Clause,Responsibility,Records,Inspection Method,HpWpCString,ItemTypeString
f7ed055b-f995-4bed-9864-b76138e3db28,,"SUPPLY OF ASPHALT
Supply of asphalt in accordance with MRTS30 Cl 7 and as detailed in the Subcontractor’s Asphalt Quality Plan (AQP):
• Materials for asphalt in accordance with MRTS30 Cl 7.1
• Requirements for asphalt in accordance with MRTS30 Cl 7.2",MRTS30 Cl 7,Engineer,"Test Report
Correspondence",Review
733e6501-0329-49b7-b954-bb0e0d78c010,,"Sampling and lab testing frequency - Plant production
On Monthly basis for each mix design
• Tensile Strength Ratio (dense grade only) - 1 per 5000 tonnes (Not required for < 500 tonnes of specific mix type)
• Deformation resistance (Heavy duty dense grade only) - - 1 per 10000 tonnes (Not required for < 5000 tonnes of specific mix type)
• Mix volume ratio (SMA only) - 1 per 5000 tonnes (Not required for total requirement less than 500 tonnes of specific mix type)
• Filler in Asphalt - 1 per month per mix","MRTS30
Cl 7.2.5
Cl 7.2.7
Cl 7.2.11
Cl 7.1.5",Engineer,"Test Report
Correspondence","Material Testing
Review reports"
db0f4939-59d3-4e47-866c-46f4bb835101,,"Product sample Compliance - Moisture Sensitivity (Dense Grade only)
 TSR ≥80%
 Avg Tensile Strength ≥ 500 kPa for mix contains SBS based PMB
 Avg Tensile Strength ≥ 600 kPa for mix with other binders","MRTS30
Cl 7.2.5",Engineer,"Test Report
Correspondence","Material Testing
Review reports"
f45453c4-87cb-4be0-861e-b148e7f4ad88,,"Asphalt production - Temperature requirement
• Production temperature - As nominated in AQP
• Dispatch temperature - shall be noted in every delivery docket
Temperature shall not exceed as per table 7.4.6 or as per AQP","MRTS30
Cl 7.4.6
Table 7.4.6",Engineer,"Report
Correspondence",Measure Temperature using probe or infrared
b5cbe155-bcd3-418d-b946-fea0960f0b60,,"Loading and Delivery of Asphalt
The dispatch temperature of the asphalt must facilitate achieving the specified compaction level in the finished product. Details of the project specific process temperatures and the frequency of recording must be provided in the AQP. 
The temperature of asphalt must not at any time in the process exceed the temperatures stated in Table 7.4.6
",MRTS30 Cl 7.4.6,Engineer,"Report
Correspondence",Measure Temperature using probe or infrared
7615c230-bb28-4b7e-91cf-872976ff9956,,"Asphalt production and Transportation
Production of asphalt in accordance with MRTS30 Cl 7.4 and as detailed in the Subcontractor’s Asphalt Quality Plan (AQP).

Transport of asphalt in accordance with MRTS30 Cl 7.5 and as detailed in the Subcontractor’s Asphalt Quality Plan (AQP).","MRTS30 Cl 7.4
MRTS30 Cl 7.5",Engineer,Correspondence,Visual
999b6836-6916-4eed-9011-f118992a9da9,,"Surface Preparation-General
 Substrate shall not be Wet
 Remove loose material using rotary broom
 Remove RPM, ATLM",MRTS30 Cl 8.2.2,Engineer,Verification Checklist,Visual
fec0e07f-413f-4bf8-ae52-b7d923526fd2,Witness Point 1,"Proof Rolling of Substrate
Surface (constructed by others) on which asphalt will be placed shall be tested for perceptible surface deformation by ‘proof rolling’.",MRTS30 Cl 8.2.2,Engineer,Verification Checklist,Visual
5eb4fd22-942d-4eaa-808b-297cff0d6e6e,Hold Point 4,"Approval to place asphalt over weak substrate
Unless otherwise approved by the Administrator, asphalt shall not be placed over pavement exhibiting significant perceptible surface deformation.",MRTS30 Cl 8.2.2,Engineer,Verification Checklist,Visual
dced0b3b-edb4-4112-8b76-6f65bca24fa8,Witness Point 2,"Crack Filling
 Mark out the extent of crack filling in presence of Administrator (WP)
 Cracks > 2mm wide shall be filled prior to asphalt placement
 Cracks filled using approved polymer modified sealant
 Prior to filling, cracks shall be cleaned with compressed air or vacuumed.
 Cracks filled level with surrounding surface.","MRTS30 Cl 8.2.3
Annexure MRTS30.1 Cl 2",Engineer,"Correspondence
Verification Checklist",Visual
1f363c8d-1807-4a5f-923b-2de0e70e6e78,Witness Point 3,"Strain Alleviating Strips
 Apply strain alleviating fabric strips to existing cracks prior to placement of asphalt or sprayed sealing.
 Strip shall be minimum 250mm width (125mm each side of crack).
 One pass of Pneumatic roller to ensure proper adhesion.
 Application shall be free from wrinkles and creases
 Apply bituminous emulsion or primer over strip prior to asphalt or spray seal.","MRTS30 Cl 8.2.4
Annexure MRTS30.1 Cl 3",Engineer,"Correspondence
Verification Checklist
Product certificates",Visual
c62dc6f0-6aa6-4f02-b3d2-ac892acbf510,,"Longitudinal Joints
 Away from trafficked wheel paths
 Coincide with final line markings (surface course)
 150mm offset to underlying layer joint except on a crowned pavement)
 Within 150mm of the line of change in Crossfall
Transverse Joints
 located a minimum of 25m apart
 1m offset from underlying layer joint
 Form a joint at each paving run
 Form a joint when a delay in paving causes the fall in asphalt temperature",MRTS30 Cl 8.10,Engineer,Verification Checklist,Survey
1686b4a4-16cc-4812-950c-aae22ee99d2c,Hold Point 7,"Placement Trial (If specified)
 Separate trial for each nominated mix
 Review and conform the results for homogeneity, insitu air voids, thickness, surface shape, joint quality and geometrics.
 Further works shall be commenced only after the administrator approval.
 If trial fails, a new trial shall be undertaken for approval","Annexure MRTS30.1 Cl 6
MRTS30 Cl 8.11",Engineer,Correspondence,Review
c1807ac7-b81e-4b42-937d-043da14136fc,,"Homogeneity (Visual assessment per lot)
Areas of asphalt that exhibit cracking, ravelling, bony or fatty material, or have been damaged during construction must be rectified or replaced.
Rectification process shall be approved by administrator.",MRTS30 Cl 9.1,Engineer,Verification Checklist,Visual
